Program Name,ole5
Description,Rotation Motor
Employee ID,1437
Comp Set,4500
Input Factor,14
Input Factor Type,cu/in
Serial Number,170654
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-12-24,20:40:39,1249,1200,210,1,0,0,0,130,8181,258.0,20715,1468,756,662,82,43,0,457,75.70,108.08%
2025-12-24,20:40:44,1206,1200,810,1,0,0,0,130,7796,243.0,20715,1466,756,692,82,43,0,498,73.09,106.66%
2025-12-24,20:40:49,1197,1200,312,1,5655,0,0,160,7857,249.0,20715,1468,754,674,83,42,0,451,72.55,108.30%
2025-12-24,20:41:14,1195,1200,1000,1,3122,1000,0,156,7715,273.0,20715,1470,756,1026,83,43,0,428,72.42,106.53%
2025-12-24,20:41:19,1191,1200,1000,1,2588,1000,0,156,7674,279.0,20715,1472,756,979,83,43,0,480,72.18,106.31%
2025-12-24,20:41:24,1219,1200,1000,1,2055,1000,0,156,7715,291.0,20715,1472,770,985,83,43,0,439,73.88,104.43%
2025-12-24,20:41:29,1187,1200,1000,1,1522,1000,0,156,7654,288.0,20715,1478,768,979,83,43,0,469,71.94,106.40%
2025-12-24,20:41:35,1195,1200,1000,1,988,1000,0,156,7654,294.0,20715,1476,768,1002,83,43,0,469,72.42,105.68%
2025-12-24,20:41:40,1189,1200,1000,1,455,1000,0,156,7654,297.0,20715,1478,768,1008,83,43,0,504,72.06,106.22%
2025-12-24,20:41:45,1187,1200,1000,2,0,1000,0,135,7674,294.0,20715,1478,768,1026,82,43,0,475,71.94,106.67%
2025-12-24,20:41:51,1195,1200,200,2,5596,1000,0,160,7634,313.0,20715,1476,768,1008,83,43,0,445,72.42,105.41%
2025-12-24,20:42:11,1174,1200,1000,2,3596,2000,0,156,7472,424.0,20715,1484,775,1953,83,44,0,486,71.15,105.02%
2025-12-24,20:42:16,1182,1200,1000,2,3063,2000,0,156,7411,427.0,20715,1484,783,2099,82,43,0,381,71.64,103.45%
2025-12-24,20:42:21,1184,1200,1000,2,2530,2000,0,156,7371,427.0,20715,1486,779,2087,82,44,0,480,71.76,102.72%
2025-12-24,20:42:26,1191,1200,1000,2,2130,2000,0,156,7512,421.0,20715,1486,779,2099,83,43,0,422,72.18,104.07%
2025-12-24,20:42:31,1187,1200,1000,2,1596,2000,0,156,7593,430.0,20715,1486,781,2175,83,44,0,422,71.94,105.55%
2025-12-24,20:42:37,1200,1200,1000,2,1063,2000,0,156,7411,433.0,20715,1492,779,2035,83,43,0,469,72.73,101.90%
2025-12-24,20:42:42,1182,1200,1000,2,530,2000,0,156,7350,445.0,20715,1492,781,2170,82,43,0,422,71.64,102.60%
2025-12-24,20:42:47,1208,1200,1000,2,0,2000,0,156,7411,451.0,20715,1488,781,2205,83,43,0,410,73.21,101.23%
2025-12-24,20:42:52,1131,1200,616,3,5804,2000,0,160,7128,454.0,20715,1492,795,2175,83,43,0,510,68.55,103.99%
